label,tt,result,n_covered,n_empty,total_domain,profiles,edges_partial,edges_incompat
lift_139,0x008B008B,UNSAT,40,0,237682,8384,398,4
lift_xor_139,0xFF74008B,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_139,0x008B0000,UNSAT,40,0,366553,10943,332,3
lift_141,0x008D008D,UNSAT,40,0,237682,8384,398,4
lift_xor_141,0xFF72008D,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_141,0x008D0000,UNSAT,40,0,366553,10943,332,3
lift_163,0x00A300A3,UNSAT,40,0,237682,8384,398,4
lift_xor_163,0xFF5C00A3,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_163,0x00A30000,UNSAT,40,0,366553,10943,332,3
lift_172,0x00AC00AC,UNSAT,40,0,246766,9439,408,0
lift_xor_172,0xFF5300AC,EMPTY+GENUINE,29,11,108382,7761,199,0
lift_and_172,0x00AC0000,UNSAT,40,0,369616,11498,335,0
lift_177,0x00B100B1,UNSAT,40,0,237682,8384,398,4
lift_xor_177,0xFF4E00B1,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_177,0x00B10000,UNSAT,40,0,366553,10943,332,3
lift_184,0x00B800B8,UNSAT,40,0,246766,9439,408,0
lift_xor_184,0xFF4700B8,EMPTY+GENUINE,29,11,108382,7761,199,0
lift_and_184,0x00B80000,UNSAT,40,0,369616,11498,335,0
lift_197,0x00C500C5,UNSAT,40,0,237682,8384,398,4
lift_xor_197,0xFF3A00C5,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_197,0x00C50000,UNSAT,40,0,366553,10943,332,3
lift_202,0x00CA00CA,UNSAT,40,0,246766,9439,408,0
lift_xor_202,0xFF3500CA,EMPTY+GENUINE,29,11,108382,7761,199,0
lift_and_202,0x00CA0000,UNSAT,40,0,369616,11498,335,0
lift_209,0x00D100D1,UNSAT,40,0,237682,8384,398,4
lift_xor_209,0xFF2E00D1,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_209,0x00D10000,UNSAT,40,0,366553,10943,332,3
lift_216,0x00D800D8,UNSAT,40,0,246766,9439,408,0
lift_xor_216,0xFF2700D8,EMPTY+GENUINE,29,11,108382,7761,199,0
lift_and_216,0x00D80000,UNSAT,40,0,369616,11498,335,0
lift_226,0x00E200E2,UNSAT,40,0,246766,9439,408,0
lift_xor_226,0xFF1D00E2,EMPTY+GENUINE,29,11,108382,7761,199,0
lift_and_226,0x00E20000,UNSAT,40,0,369616,11498,335,0
lift_228,0x00E400E4,UNSAT,40,0,246766,9439,408,0
lift_xor_228,0xFF1B00E4,EMPTY+GENUINE,29,11,108382,7761,199,0
lift_and_228,0x00E40000,UNSAT,40,0,369616,11498,335,0
lift_232,0x00E800E8,UNSAT,40,0,241728,9554,402,0
lift_xor_232,0xFF1700E8,EMPTY+GENUINE,27,13,107520,7325,177,0
lift_and_232,0x00E80000,UNSAT,40,0,367254,11190,318,0
lift_686,0x02AE02AE,UNSAT,40,0,151574,7092,437,0
lift_xor_686,0xFD5102AE,EMPTY+GENUINE,28,12,39474,4019,175,0
lift_and_686,0x02AE0000,UNSAT,40,0,278225,9754,352,0
lift_698,0x02BA02BA,UNSAT,40,0,151574,7092,437,0
lift_xor_698,0xFD4502BA,EMPTY+GENUINE,28,12,39474,4019,175,0
lift_and_698,0x02BA0000,UNSAT,40,0,278225,9754,352,0
lift_766,0x02FE02FE,UNSAT,40,0,150530,7325,414,4
lift_xor_766,0xFD0102FE,EMPTY+GENUINE,30,10,43857,4443,198,4
lift_and_766,0x02FE0000,UNSAT,40,0,252111,9957,380,2
lift_1230,0x04CE04CE,UNSAT,40,0,151574,7092,437,0
lift_xor_1230,0xFB3104CE,EMPTY+GENUINE,28,12,39474,4019,175,0
lift_and_1230,0x04CE0000,UNSAT,40,0,278225,9754,352,0
lift_1244,0x04DC04DC,UNSAT,40,0,151574,7092,437,0
lift_xor_1244,0xFB2304DC,EMPTY+GENUINE,28,12,39474,4019,175,0
lift_and_1244,0x04DC0000,UNSAT,40,0,278225,9754,352,0
lift_1278,0x04FE04FE,UNSAT,40,0,150530,7325,414,4
lift_xor_1278,0xFB0104FE,EMPTY+GENUINE,30,10,43857,4443,198,4
lift_and_1278,0x04FE0000,UNSAT,40,0,252111,9957,380,2
lift_2059,0x080B080B,UNSAT,40,0,237682,8384,398,4
lift_xor_2059,0xF7F4080B,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_2059,0x080B0000,UNSAT,40,0,366553,10943,332,3
lift_2061,0x080D080D,UNSAT,40,0,237682,8384,398,4
lift_xor_2061,0xF7F2080D,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_2061,0x080D0000,UNSAT,40,0,366553,10943,332,3
