label,tt,result,total_domain,profiles,edges_partial,edges_incompat
rnd_0,0xA3B1799D,UNSAT,3058,588,48,2
rnd_1,0x1C80317F,UNSAT,7710,1243,94,0
rnd_2,0x06671AD1,UNSAT,188,81,10,0
rnd_3,0xBDD640FB,UNSAT,2542,447,36,3
rnd_4,0x46685257,UNSAT,3440,671,72,1
rnd_5,0x3EB13B90,UNSAT,14288,2063,118,1
rnd_6,0x392456DE,UNSAT,3114,574,31,2
rnd_7,0x23B8C1E9,UNSAT,3914,795,59,5
rnd_8,0xBC8960A9,UNSAT,11978,1703,80,0
rnd_9,0x1A3D1FA7,UNSAT,1870,397,56,3
rnd_10,0xAD3C2D6D,UNSAT,36728,2366,142,2
rnd_11,0xBD9C66B3,UNSAT,1114,357,48,1
rnd_12,0xE465E150,UNSAT,40320,3616,143,0
rnd_13,0x8B9D2434,UNSAT,11795,1629,65,0
rnd_14,0x16419F82,UNSAT,673,215,20,0
rnd_15,0x972A8469,UNSAT,89,47,10,1
rnd_16,0x6C031199,UNSAT,5978,1033,48,0
rnd_17,0x0822E8F3,UNSAT,29352,2391,268,7
rnd_18,0x07A0CA6E,UNSAT,4646,1015,90,0
rnd_19,0x17FC695A,UNSAT,3520,690,18,0
rnd_20,0x37F8A88B,UNSAT,13934,2289,95,0
rnd_21,0x3B8FAA18,UNSAT,13783,2105,118,1
rnd_22,0x815EF6D1,UNSAT,387,122,17,6
rnd_23,0x9A1DE644,UNSAT,10983,1418,70,2
rnd_24,0x06CB0FB3,UNSAT,22390,1059,83,0
rnd_25,0x8FADC1A6,UNSAT,12298,1634,97,1
rnd_26,0x32E70629,UNSAT,677,200,27,0
rnd_27,0xB74D0FB1,UNSAT,1701,339,47,3
rnd_28,0xA65ED389,UNSAT,13,13,5,1
rnd_29,0xB38A088C,UNSAT,37519,3221,225,2
rnd_30,0x8B8148F6,UNSAT,4013,813,59,11
rnd_31,0x6B65A6A4,UNSAT,21749,2719,77,0
rnd_32,0x386ECBE0,UNSAT,2298,737,38,3
rnd_33,0x72FF5D2A,UNSAT,44495,3683,143,3
rnd_34,0x96DA1DAC,UNSAT,41,29,10,3
rnd_35,0x47378190,UNSAT,7049,1371,96,2
rnd_36,0xCF36D58B,UNSAT,815,275,59,1
rnd_37,0xDE8A774B,UNSAT,5254,1214,125,2
rnd_38,0x01A9E71F,UNSAT,1520,413,49,0
rnd_39,0xC241330B,UNSAT,7764,1418,93,0
rnd_40,0xCE4A2BBD,UNSAT,2618,631,25,0
rnd_41,0x28DF6EC4,UNSAT,14960,2058,129,2
rnd_42,0xB2B9437A,UNSAT,1120,318,30,2
rnd_43,0x6C307511,UNSAT,34276,2695,218,8
rnd_44,0x571AA876,UNSAT,8000,907,31,0
rnd_45,0x47229389,UNSAT,3746,750,48,2
rnd_46,0x27CD8130,UNSAT,9244,1097,55,0
rnd_47,0x371ECD7B,UNSAT,190,102,14,0
rnd_48,0xF50BEA63,UNSAT,10600,1479,107,1
rnd_49,0xC37459EE,UNSAT,3718,729,29,5
rnd_50,0x562B0F79,UNSAT,1503,271,14,0
rnd_51,0x1A2A73ED,UNSAT,7910,872,53,6
rnd_52,0x17BE3111,UNSAT,30759,1886,125,0
rnd_53,0x6142EA7D,UNSAT,819,264,29,1
rnd_54,0x18C26797,UNSAT,1163,161,4,0
rnd_55,0x5BE6128E,UNSAT,982,334,24,2
rnd_56,0xD8F56413,UNSAT,1697,524,62,0
rnd_57,0x580D7B71,UNSAT,1773,509,108,9
rnd_58,0x9A8DCA03,UNSAT,15917,2339,131,5
rnd_59,0x43B7A3A6,UNSAT,14817,1967,107,5
rnd_60,0xCE9FF57F,UNSAT,42544,1797,115,0
rnd_61,0x0B1F9163,UNSAT,1492,314,51,2
rnd_62,0xBACFB3D0,UNSAT,18300,2864,212,3
rnd_63,0x759CDE66,UNSAT,2768,644,29,0
rnd_64,0x89463E85,UNSAT,267,73,1,0
rnd_65,0x1FF49B78,UNSAT,19073,2304,113,7
rnd_66,0xF91E1D4C,UNSAT,4466,1013,63,0
rnd_67,0xEC1B8CA1,UNSAT,10348,1458,102,1
rnd_68,0x60E7A113,UNSAT,1906,429,54,0
rnd_69,0x142C3FE8,UNSAT,5002,1146,79,2
