label,tt,result,n_covered,n_empty,total_domain,profiles,edges_partial,edges_incompat
rnd_0,0xA3B1799D,EMPTY+GENUINE,17,23,3058,572,48,2
rnd_1,0x1C80317F,EMPTY_UNSAT,20,20,7710,616,94,0
rnd_2,0x06671AD1,EMPTY_UNSAT,11,29,188,59,10,0
rnd_3,0xBDD640FB,EMPTY+GENUINE,12,28,2542,376,36,3
rnd_4,0x46685257,EMPTY+GENUINE,17,23,3440,577,72,1
rnd_5,0x3EB13B90,EMPTY+GENUINE,22,18,14288,1901,118,1
rnd_6,0x392456DE,EMPTY+GENUINE,14,26,3114,467,31,2
rnd_7,0x23B8C1E9,EMPTY+GENUINE,18,22,3914,710,59,5
rnd_8,0xBC8960A9,EMPTY+GENUINE,18,22,11978,1451,80,0
rnd_9,0x1A3D1FA7,EMPTY+GENUINE,16,24,1870,369,56,3
rnd_10,0xAD3C2D6D,EMPTY+GENUINE,26,14,36728,2341,142,2
rnd_11,0xBD9C66B3,EMPTY+GENUINE,16,24,1114,264,48,1
rnd_12,0xE465E150,EMPTY+GENUINE,23,17,40320,3504,143,0
rnd_13,0x8B9D2434,EMPTY+GENUINE,18,22,11795,1500,65,0
rnd_14,0x16419F82,EMPTY+GENUINE,10,30,673,147,20,0
rnd_15,0x972A8469,EMPTY+GENUINE,11,29,89,33,10,1
rnd_16,0x6C031199,EMPTY_UNSAT,15,25,5978,574,48,0
rnd_17,0x0822E8F3,EMPTY+GENUINE,35,5,29352,2391,268,7
rnd_18,0x07A0CA6E,EMPTY+GENUINE,19,21,4646,923,90,0
rnd_19,0x17FC695A,EMPTY_UNSAT,9,31,3520,527,18,0
rnd_20,0x37F8A88B,EMPTY_UNSAT,22,18,13934,1848,95,0
rnd_21,0x3B8FAA18,EMPTY+GENUINE,22,18,13783,2071,118,1
rnd_22,0x815EF6D1,EMPTY+GENUINE,9,31,387,67,17,6
rnd_23,0x9A1DE644,EMPTY+GENUINE,18,22,10983,1247,70,2
rnd_24,0x06CB0FB3,EMPTY_UNSAT,20,20,22390,995,83,0
rnd_25,0x8FADC1A6,EMPTY+GENUINE,20,20,12298,1578,97,1
rnd_26,0x32E70629,EMPTY+GENUINE,12,28,677,148,27,0
rnd_27,0xB74D0FB1,EMPTY+GENUINE,16,24,1701,309,47,3
rnd_28,0xA65ED389,EMPTY+GENUINE,10,30,13,13,5,1
rnd_29,0xB38A088C,EMPTY+GENUINE,31,9,37519,3205,225,2
rnd_30,0x8B8148F6,EMPTY+GENUINE,18,22,4013,776,59,11
rnd_31,0x6B65A6A4,EMPTY_UNSAT,18,22,21749,2196,77,0
rnd_32,0x386ECBE0,EMPTY+GENUINE,16,24,2298,642,38,3
rnd_33,0x72FF5D2A,EMPTY+GENUINE,25,15,44495,3606,143,3
rnd_34,0x96DA1DAC,EMPTY+GENUINE,10,30,41,25,10,3
rnd_35,0x47378190,EMPTY+GENUINE,21,19,7049,562,96,2
rnd_36,0xCF36D58B,EMPTY+GENUINE,15,25,815,253,59,1
rnd_37,0xDE8A774B,EMPTY+GENUINE,23,17,5254,1158,125,2
rnd_38,0x01A9E71F,EMPTY_UNSAT,16,24,1520,286,49,0
rnd_39,0xC241330B,EMPTY_UNSAT,21,19,7764,1296,93,0
rnd_40,0xCE4A2BBD,EMPTY_UNSAT,10,30,2618,319,25,0
rnd_41,0x28DF6EC4,EMPTY+GENUINE,22,18,14960,2005,129,2
rnd_42,0xB2B9437A,EMPTY+GENUINE,13,27,1120,275,30,2
rnd_43,0x6C307511,EMPTY+GENUINE,31,9,34276,2689,218,8
